=== ПРЯМОЕ СРАВНЕНИЕ БЕЗ ПОПРАВОЧНОГО КОЭФФИЦИЕНТА ===
Сценарий: scenario_2

Средняя абсолютная ошибка (MAE): 0.2943%
Среднеквадратичная ошибка (RMSE): 0.2962%
Средняя абсолютная процентная ошибка (MAPE): 145.60%
Средняя разница (Model - Real): 0.2943%

По годам:
2012: Model=0.52%, Real=0.18%, Diff=0.34%, Relative=195.1%
2013: Model=0.53%, Real=0.19%, Diff=0.34%, Relative=179.3%
2014: Model=0.52%, Real=0.18%, Diff=0.34%, Relative=190.2%
2015: Model=0.51%, Real=0.18%, Diff=0.33%, Relative=177.5%
2016: Model=0.51%, Real=0.19%, Diff=0.32%, Relative=169.4%
2017: Model=0.50%, Real=0.20%, Diff=0.30%, Relative=147.5%
2018: Model=0.49%, Real=0.21%, Diff=0.29%, Relative=139.7%
2019: Model=0.49%, Real=0.22%, Diff=0.28%, Relative=128.5%
2020: Model=0.48%, Real=0.21%, Diff=0.27%, Relative=126.9%
2021: Model=0.49%, Real=0.23%, Diff=0.26%, Relative=110.8%
2022: Model=0.48%, Real=0.23%, Diff=0.26%, Relative=112.7%
2023: Model=0.50%, Real=0.23%, Diff=0.26%, Relative=113.1%
2024: Model=0.50%, Real=0.25%, Diff=0.25%, Relative=102.0%
